"X","abv","ibu","id","name","style","brewery_id","ounces"
1012,0.052,18,1361,"Half Full Bright Ale","Blonde Ale",248,12
1015,0.075,70,1677,"The Great Return","IPA",343,16
1022,0.059,42,1379,"Harpoon IPA","IPA",234,12
1025,0.059,42,770,"Harpoon IPA (2012)","IPA",234,12
1029,0.059,42,126,"Harpoon IPA (2010)","IPA",234,12
1037,0.076,65,1895,"Groupe G","IPA",280,16
1039,0.088,77,1893,"Hill 88 Double IPA","IPA",280,16
1040,0.072,45,990,"Loose Cannon","IPA",479,12
1044,0.08,86,1346,"Habitus IPA","IPA",423,16
1045,0.099,85,904,"Ex Umbris Rye Imperial Stout","Stout",423,16
1052,0.055,34,889,"Hilliard's Pils","Pilsener",362,16
1053,0.049,20,724,"Hilliard's Blonde","Blonde Ale",362,16
1054,0.055,60,497,"Hilliard's Amber Ale","Red Ale",362,16
1058,0.047,28,1834,"One Nut Brown","Brown Ale",297,12
1059,0.058,45,1833,"Hop Farm IPA","IPA",297,12
1060,0.049,20,2195,"Double D Blonde","Blonde Ale",198,12
1062,0.063,70,1543,"Proxima IPA","IPA",198,12
1063,0.049,20,1390,"Double D Blonde (2013)","Blonde Ale",198,12
1065,0.065,90,1353,"Alphadelic IPA","IPA",198,12
1066,0.065,90,499,"Alphadelic IPA (2011)","IPA",198,12
1067,0.049,20,498,"Double D Blonde (2011)","Blonde Ale",198,12
1087,0.058,60,2388,"Rise Up Red","Red Ale",80,16
1088,0.058,35,2200,"Survival Stout","Stout",80,16
1089,0.066,75,2199,"Hopworks IPA","IPA",80,16
1092,0.058,60,1085,"Rise-Up Red (2014)","Red Ale",80,16
1094,0.051,32,658,"HUB Lager","Pilsener",80,16
1095,0.066,75,653,"Hopworks IPA (2012)","IPA",80,16
1101,0.068,90,1903,"Let It Ride IPA","IPA",277,12
1107,0.048,32,2350,"Oklahoma Suks","Red Ale",140,12
1111,0.07,75,2038,"Infamous IPA","IPA",242,12
1113,0.045,20,559,"Jon Boat Coastal Ale","Blonde Ale",527,12
1114,0.068,55,558,"I-10 IPA","IPA",527,12
1140,0.093,90,468,"Hop Box Imperial IPA","IPA",233,12
1150,0.095,85,666,"Rodeo Clown Double IPA","IPA",125,12
1153,0.066,70,463,"Hopadillo India Pale Ale","IPA",125,12
1155,0.06,64,1572,"KelSo India Pale Ale","IPA",342,12
1156,0.055,23,1348,"KelSo Pilsner","Pilsener",342,12
1158,0.05,15,1187,"Peninsula Brewers Reserve (PBR)","Blonde Ale",458,12
1162,0.065,65,759,"Double Haul IPA (2009)","IPA",510,16
1163,0.065,65,758,"Double Haul IPA (2006)","IPA",510,16
1165,0.065,65,86,"Double Haul IPA","IPA",510,16
1176,0.06,70,1667,"King Street IPA","IPA",102,12
1179,0.063,65,2460,"India Pale Ale","IPA",87,16
1188,0.072,100,664,"Elevated IPA","IPA",332,16
1197,0.064,66,1396,"Laughing Dog IPA","IPA",218,12
1198,0.064,95,1675,"Madra Allta","IPA",345,12
1199,0.056,70,1249,"Duluchan India Pale Ale","IPA",345,12
1208,0.058,40,1832,"Adam's Stout","Stout",298,12
1209,0.057,42,1688,"American Hero","Red Ale",298,12
1211,0.065,75,1686,"Irregardless IPA","IPA",298,12
1217,0.061,30,2326,"Sweet Josie","Brown Ale",149,12
1218,0.059,42,1926,"Long Trail IPA","IPA",268,12
1219,0.046,30,1924,"Long Trail Ale","Red Ale",268,12
1227,0.062,65,1309,"Face Plant IPA","IPA",430,12
1228,0.056,55,1308,"Rhino Chasers Pilsner","Pilsener",430,12
1229,0.052,29,1571,"Slow Hand Stout","Stout",377,16
1234,0.051,31,2032,"Ballistic Blonde","IPA",245,12
1240,0.051,32,961,"Mac's Scottish Style Amber Ale (2000)","Red Ale",485,12
1244,0.043,18,2209,"Sol Drifter","Blonde Ale",91,12
1249,0.069,70,1126,"Psychopathy","IPA",91,12
1250,0.07,32,1125,"Gnarly Brown","Brown Ale",91,12
1251,0.06,30,1124,"Happy Amber","Red Ale",91,12
1261,0.045,21,1625,"Belgian Style Session Ale","IPA",356,12
1267,0.085,85,1334,"Dreamin' Double IPA","IPA",356,12
1268,0.099,93,1674,"Chaotic Double IPA","IPA",346,12
1269,0.08,88,1673,"Manzanita IPA","IPA",346,12
1270,0.06,25,1672,"Riverwalk Blonde Ale","Blonde Ale",346,12
1271,0.095,49,1671,"Gillespie Brown Ale","Brown Ale",346,12
1281,0.065,47,2268,"Pretzel Stout","Stout",161,16
1282,0.05,35,2197,"Rubberneck Red","Red Ale",161,16
1288,0.065,60,1831,"Our Legacy IPA","IPA",299,12
1290,0.065,60,1135,"Our Legacy IPA","IPA",299,16
1296,0.05,12,773,"Blueberry Blonde Ale","Blonde Ale",299,12
1301,0.051,20,1578,"Lahaina Town Brown","Brown Ale",375,12
1306,0.06,24,690,"Sobrehumano Palena'ole","Red Ale",375,12
1308,0.068,68,435,"Flyin' HI.P.Hay","IPA",375,12
1311,0.057,30,32,"CoCoNut Porter","Porter",375,12
1312,0.062,65,31,"Big Swell IPA","IPA",375,12
1313,0.037,34,1237,"Pit Stop Chocolate Porter","Porter",448,12
1319,0.072,75,2186,"Tsunami IPA","IPA",203,19.2
1320,0.072,75,2185,"Tsunami IPA","IPA",203,12
1321,0.042,22,2184,"Humpback Blonde Ale","Blonde Ale",203,12
1322,0.052,27,2178,"Hawaiian Crow Porter","Porter",203,12
1323,0.052,23,2177,"Volcano Red Ale","Red Ale",203,12
1326,0.053,30,1507,"Gator Tail Brown Ale","Brown Ale",393,12
1327,0.071,62,1506,"Miami Vice IPA","IPA",393,12
1328,0.053,16,1325,"Big Rod Coconut Ale","Blonde Ale",393,12
1330,0.063,61,2093,"Pleasure Town","IPA",223,12
1331,0.063,61,1814,"Pleasure Town IPA","IPA",223,12
1333,0.05,24,586,"Kodiak Brown Ale","Brown Ale",223,12
1334,0.057,70,434,"Sockeye Red IPA","IPA",223,12
1335,0.08,100,2668,"Habitus (2014)","IPA",3,16
1336,0.075,85,2667,"Solis","IPA",3,16
1338,0.08,100,2664,"Habitus","IPA",3,16
1346,0.043,8,2530,"Daft Funk","Weissbier",65,24
1354,0.087,80,1884,"Hop Freak","IPA",284,16
1355,0.051,24,1272,"Louie's Demise Amber Ale","Red Ale",284,16
1356,0.075,51,1080,"Hop Happy","IPA",284,16
