"name","Radius","Period","Discovery_method","star_mass","star_radius","star_temperature"
"Kepler-1245 b",0.128,4.35409304,"transit",0.86,0.83,5306
"Kepler-1245 c",0.128,2.93658468,"transit",0.86,0.83,5306
"Kepler-66 b",0.255165,17.815815,"transit",1.038,0.966,5962
"Kepler-528 b",0.186,19.78297415,"transit",1.01,1.06,5807
"Kepler-112 b",0.21507,8.408878,"transit",0.946,0.841,5544
"Kepler-112 c",0.21871,28.574263,"transit",0.946,0.841,5544
"Kepler-421 b",0.379102,704.1984,"transit",0.794,0.757,5308
"Kepler-388 b",0.07382,3.173315,"transit",0.635,0.586,4498
"Kepler-388 c",0.07837,13.297004,"transit",0.635,0.586,4498
"Kepler-589 b",0.203,16.54964934,"transit",0.88,0.83,5296
"Kepler-1003 b",0.159,3.55485691,"transit",1.11,1.17,6109
"Kepler-703 b",0.732,4.58352176,"transit",1.18,1.27,6185
"Kepler-792 b",0.175,11.30119217,"transit",1.09,1.12,5971
"KOI-183 b",1.192,2.6843285,"transit",0.85,0.95,5560
"Kepler-656 b",0.278,1.26025909,"transit",0.86,0.82,5281
"Kepler-1010 b",0.207,34.2685705,"transit",0.86,0.82,5253
"CoRoT-5 b",1.388,4.0378962,"transit",1,1.186,6100
"Kepler-483 b",0.286,30.229104,"transit",1.28,1.47,6346
"Kepler-1443 b",0.087,2.41811321,"transit",1.19,1.27,6289
"Kepler-786 b",0.217,53.5293487,"transit",0.81,0.74,4838
"Kepler-399 d",0.17224,58.034616,"transit",0.927,0.68,5502
"Kepler-399 b",0.08749,14.425281,"transit",0.927,0.68,5502
"Kepler-399 c",0.13032,26.67569,"transit",0.927,0.68,5502
"Kepler-743 b",0.108,3.17926292,"transit",0.94,0.85,5486
"Kepler-268 b",0.23238,25.934138,"transit",1.13,1.274,6081
"Kepler-268 c",0.30802,83.446393,"transit",1.13,1.274,6081
"Kepler-1106 b",0.147,1.25275217,"transit",1.11,1.17,6104
"Kepler-1515 b",0.852,214.3114164,"transit",1.3,1.41,6511
"Kepler-175 b",0.23329,11.903515,"transit",1.045,1.01,6064
"Kepler-175 c",0.2825,34.035257,"transit",1.045,1.01,6064
"Kepler-640 b",0.228,22.24813967,"transit",1.01,0.94,5653
"Kepler-1506 b",0.118,14.0329154,"transit",0.95,0.93,5676
"Kepler-966 b",0.368,99.747622,"transit",1.02,1.02,5840
"Kepler-1024 b",0.349,66.4162133,"transit",0.81,0.78,5143
"Kepler-899 b",0.239,19.17891293,"transit",0.93,0.91,5595
"Kepler-1249 b",0.212,24.3347127,"transit",1.19,1.28,6202
"Kepler-621 b",0.205,2.62811375,"transit",0.72,0.68,4521
